;ID;Date;Author;Comment;Quoted Author;Quoted Comment
https://www.rt.com/usa/334543-pelosi-democrats-superdelegate-system/;;;;;;
;1;04.03.2016;Jason Segedy;Super delegates have not had their vote yet, very irresponsible thing for Pelosi to say. It is actually currently Clinton-595 to Bernie 405, and still many states to go;;
;2;04.03.2016;Rick Ganan;First, Pelosi decries the superdelegate system. Then she marvels at Hillary Clinton's impressive lead in pledged delegates! What a hypocrite!;;
;3;04.03.2016;classicwoodie;The peoples choice is not being shown if Super-delegates can crash the Party!;;
;4;04.03.2016;Laura Knight-Jadczyk;"The ""superdelegate"" system is a trick of the wealthy elite.  It should be abolished.";;
;5;04.03.2016;Robin Banks;Bernie has the Merit for the job, the others do not.;;
;6;04.03.2016;John Normanton;US politics are as corrupt as Zimbabwe's.;;
;7;04.03.2016;Chuck Lee;this is a fake way to get bernie voters to back clinton - not gonna work - people are smarter than that. bernie supporters see clearly that hilhagary is taking his platform so she can win but will do nothing just like obomber - all fakes. all the democratic oligarchs have already said they are backing clinton. bernie needs an overwhelming majority to shut them up,;;
;8;04.03.2016;Norman Allen;There is only one candidate whose deeds seems to conform to his words: Sanders.  The rest seems to belong to Einstein's school of madness: doing the same, expecting different results.  The establishment's two party system seem to stack the cards against sanity for the insanity imposed by the 1% who buys power and concentrates wealth/power to the detriment of the 99%.  It remains to be seen if the insanity will continue with the political process that was set up for the  pre-industrial USA and which is hijacked by the 1%.;;
;9;04.03.2016;heu2016;Bernie is the better choice ! This election process is stealing his chance! Such bs;;
;10;04.03.2016;heu2016;That is one thing I agree with Nancy  on. I think that they should remove all super delegates ! Let the people decide!  Super delegates just lead to corruption and special deals ..;;
;11;04.03.2016;davthp;The fact is in the US some people are more equal than others!;;
;12;04.03.2016;Cole Haverly;She makes a good point, but i would rather keep the SDS to spite her since shes leading this initiative.;;
https://www.rt.com/uk/334434-paddy-power-bookies-trump/;;;;;;
;13;05.03.2016;Marina Tod;Yes, so ISIS can take over.  Clintons=Chaos in the middle east.;;
;14;04.03.2016;Garron Garron;Trump will be president for 2 little reasons.The American taxpayer is mad.The American voter no longer trusts Washington.America is done with the same old samo jibber-jabber.The anger factor has trumped the fear factor.Trump16;;
;15;03.03.2016;Lolla Wossiky;Like the picture at the top. Looking like the cat that caught the canary.;;
;16;03.03.2016;Gordon Noble;Win the white house and clear out the garbage Donald;;
https://www.rt.com/usa/334391-colorado-delegates-split-sanders/;;;;;;
;17;10.03.2016;Scott Watkins;Bernie has received enough attention that I think he could tell the Democratic party to go to hell and run a successful independent campaign at this point. And if he loses the Democratic nomination he should. It's high time we brought this 2 party franchise to a halt.;Scott Watkins;"So Hickenlooper sees the Colorado votes as ""enthusiasm"" for Bernie, but still chooses Clinton. Superdelegates are an affront to the entire voting process. Sickening. Utterly sickening. more..."
;18;05.03.2016;Chris Kelley;republicans dont have super delegates, the super delegates can and usually do change to support who ever wins the popular vote. the media is deliberately or ignorantly misconstruing it;;
;19;05.03.2016;Chris Kelley;why is it called the democratic party, the republicans don't have super delegates.;;
;20;05.03.2016;Robin Barrett;Dear Hillary & DNC, If you win the primaries this way, you will lose the general.;;
;21;04.03.2016;Walter Rhein;Sort of like how American banks got a Trillion dollar bail out from US tax payers?;Mark D;Isn't that the way socialism works?  Someone works hard and makes the most and the ones that have less get to benefit off the ones that are wealthy in the earnings? more...
;22;03.03.2016;Mark D;Isn't that the way socialism works?  Someone works hard and makes the most and the ones that have less get to benefit off the ones that are wealthy in the earnings?;;
;23;03.03.2016;Zap Radon;If Sanders loses because of superdelegates, the GOP will win. People are tired of having their choices dictated by oligarchs.;;
;24;03.03.2016;Peter Nolan Smith;shame;;
;25;03.03.2016;Kevin Chouinard;F*ck the Out Of Touch superdelegates;;
;26;03.03.2016;Scott Watkins;"So Hickenlooper sees the Colorado votes as ""enthusiasm"" for Bernie, but still chooses Clinton. Superdelegates are an affront to the entire voting process. Sickening. Utterly sickening.";;
;27;03.03.2016;Rick Frank;Enough is enough.......Super delegates will go with whomever gets the popular vote........otherwise the DNC will be committing political suicide.......;;
https://www.rt.com/shows/big-picture/334370-super-tuesday-presidential-candidates/;;;;;;
https://www.rt.com/usa/334340-carson-no-path-forward/;;;;;;
;28;05.03.2016;Jimm Milenski;So, if Ben Carson were to become president, would he be President Dr. Carson ?;;
;29;03.03.2016;Wolf Golf;Yeah, and you have to spend only 10 million USD to make that kind of money first.;;
;30;03.03.2016;Laud Lookun;Well overdue.;;
;31;02.03.2016;i am the caretaker;He would have done better if he didn't look and sound stoned.;;
;32;02.03.2016;Lucia Cove;"There is no room for decency on that side of the race; yes, it's a pity.";;
;33;02.03.2016;John Smith;10/10. Better.;dank fur kopf;The problem is Poles surrender immediately, and meekly accept occupation. They've done this dozens of times throughout history.When you can't fight, you don't get to have a culture and an identity. Russia has never been under the thumb of another Empire. It has always fought and defeated anyone that has tried to occupy it. Poles should be more like Russians, and less like Ukrainians. more...
;34;02.03.2016;dank fur kopf;The problem is Poles surrender immediately, and meekly accept occupation. They've done this dozens of times throughout history.When you can't fight, you don't get to have a culture and an identity. Russia has never been under the thumb of another Empire. It has always fought and defeated anyone that has tried to occupy it. Poles should be more like Russians, and less like Ukrainians.;;
;35;02.03.2016;dank fur kopf;You mean the ideology that sprung up when the regions in Poland were part of the Polish-Lithuanian Commonwealth?Right..;;
;36;02.03.2016;John Smith;Sarmatist Ideology.;;
;37;02.03.2016;dank fur kopf;It's historical fact.Name a single thing that is Polish culture..;;
